group,replicate,fastq_1,fastq_2
mCh-Ctrl,1,/camp/stp/babs/outputs/briscoej/joaquina.delas/asf/PM22073/220325_A01366_0163_AH3CWHDSX3/fastq/DEL4760A1_S349_L003_R1_001.fastq.gz,/camp/stp/babs/outputs/briscoej/joaquina.delas/asf/PM22073/220325_A01366_0163_AH3CWHDSX3/fastq/DEL4760A1_S349_L003_R2_001.fastq.gz
mCh-Ctrl,1,/camp/stp/babs/outputs/briscoej/joaquina.delas/asf/PM22073/220325_A01366_0163_AH3CWHDSX3/fastq/DEL4760A1_S349_L004_R1_001.fastq.gz,/camp/stp/babs/outputs/briscoej/joaquina.delas/asf/PM22073/220325_A01366_0163_AH3CWHDSX3/fastq/DEL4760A1_S349_L004_R2_001.fastq.gz
mCh-Ctrl,2,/camp/stp/babs/outputs/briscoej/joaquina.delas/asf/PM22073/220325_A01366_0163_AH3CWHDSX3/fastq/DEL4760A2_S350_L003_R1_001.fastq.gz,/camp/stp/babs/outputs/briscoej/joaquina.delas/asf/PM22073/220325_A01366_0163_AH3CWHDSX3/fastq/DEL4760A2_S350_L003_R2_001.fastq.gz
mCh-Ctrl,2,/camp/stp/babs/outputs/briscoej/joaquina.delas/asf/PM22073/220325_A01366_0163_AH3CWHDSX3/fastq/DEL4760A2_S350_L004_R1_001.fastq.gz,/camp/stp/babs/outputs/briscoej/joaquina.delas/asf/PM22073/220325_A01366_0163_AH3CWHDSX3/fastq/DEL4760A2_S350_L004_R2_001.fastq.gz
mCh-Ctrl,3,/camp/stp/babs/outputs/briscoej/joaquina.delas/asf/PM22073/220325_A01366_0163_AH3CWHDSX3/fastq/DEL4760A3_S351_L003_R1_001.fastq.gz,/camp/stp/babs/outputs/briscoej/joaquina.delas/asf/PM22073/220325_A01366_0163_AH3CWHDSX3/fastq/DEL4760A3_S351_L003_R2_001.fastq.gz
mCh-Ctrl,3,/camp/stp/babs/outputs/briscoej/joaquina.delas/asf/PM22073/220325_A01366_0163_AH3CWHDSX3/fastq/DEL4760A3_S351_L004_R1_001.fastq.gz,/camp/stp/babs/outputs/briscoej/joaquina.delas/asf/PM22073/220325_A01366_0163_AH3CWHDSX3/fastq/DEL4760A3_S351_L004_R2_001.fastq.gz
mCh-Foxa2,1,/camp/stp/babs/outputs/briscoej/joaquina.delas/asf/PM22073/220325_A01366_0163_AH3CWHDSX3/fastq/DEL4760A4_S352_L003_R1_001.fastq.gz,/camp/stp/babs/outputs/briscoej/joaquina.delas/asf/PM22073/220325_A01366_0163_AH3CWHDSX3/fastq/DEL4760A4_S352_L003_R2_001.fastq.gz
mCh-Foxa2,1,/camp/stp/babs/outputs/briscoej/joaquina.delas/asf/PM22073/220325_A01366_0163_AH3CWHDSX3/fastq/DEL4760A4_S352_L004_R1_001.fastq.gz,/camp/stp/babs/outputs/briscoej/joaquina.delas/asf/PM22073/220325_A01366_0163_AH3CWHDSX3/fastq/DEL4760A4_S352_L004_R2_001.fastq.gz
mCh-Foxa2,2,/camp/stp/babs/outputs/briscoej/joaquina.delas/asf/PM22073/220325_A01366_0163_AH3CWHDSX3/fastq/DEL4760A5_S353_L003_R1_001.fastq.gz,/camp/stp/babs/outputs/briscoej/joaquina.delas/asf/PM22073/220325_A01366_0163_AH3CWHDSX3/fastq/DEL4760A5_S353_L003_R2_001.fastq.gz
mCh-Foxa2,2,/camp/stp/babs/outputs/briscoej/joaquina.delas/asf/PM22073/220325_A01366_0163_AH3CWHDSX3/fastq/DEL4760A5_S353_L004_R1_001.fastq.gz,/camp/stp/babs/outputs/briscoej/joaquina.delas/asf/PM22073/220325_A01366_0163_AH3CWHDSX3/fastq/DEL4760A5_S353_L004_R2_001.fastq.gz
mCh-Foxa2,3,/camp/stp/babs/outputs/briscoej/joaquina.delas/asf/PM22073/220325_A01366_0163_AH3CWHDSX3/fastq/DEL4760A6_S354_L003_R1_001.fastq.gz,/camp/stp/babs/outputs/briscoej/joaquina.delas/asf/PM22073/220325_A01366_0163_AH3CWHDSX3/fastq/DEL4760A6_S354_L003_R2_001.fastq.gz
mCh-Foxa2,3,/camp/stp/babs/outputs/briscoej/joaquina.delas/asf/PM22073/220325_A01366_0163_AH3CWHDSX3/fastq/DEL4760A6_S354_L004_R1_001.fastq.gz,/camp/stp/babs/outputs/briscoej/joaquina.delas/asf/PM22073/220325_A01366_0163_AH3CWHDSX3/fastq/DEL4760A6_S354_L004_R2_001.fastq.gz
