Cluster_ID,mouse_genename
1,Lhx6
2,Lhx2
2,Lhx3
2,Nobox
2,Dlx3
2,Prrx2
2,Isl1
2,Pdx1
2,Dlx5
2,Lhx6
2,Sp7
2,Alx3
2,Mixl1
2,Uncx
2,Esx1
2,Lbx2
2,Gsx2
2,Prrx1
2,Hoxb3
2,Gsx1
2,Hoxb2
2,Dlx6
2,Lmx1b
2,Gbx2
2,Hoxa2
2,Emx1
2,Rax
2,Lmx1a
2,Meox2
2,Vsx1
2,Evx1
2,Gbx1
2,Nkx6-2
2,Vsx2
2,Evx2
2,Hesx1
2,Lhx9
2,Msx1
2,Vax1
2,En2
2,En1
2,Msx2
2,Mnx1
2,Vax2
2,Meox1
2,Pou6f1
2,Noto
2,Isx
2,Pax4
2,Emx2
2,Nkx6-1
2,Bsx
2,Barx1
2,Pou6f2
2,Hoxa5
2,Lbx1
2,Shox2
2,Dlx1
2,Dlx2
2,Dlx4
2,Hoxb5
2,Hoxa1
2,Hoxd8
4,Barx1
4,Isl2
4,Nkx3-2
4,Hmx3
4,Hmx2
4,Hmx1
4,Nkx3-1
5,Barx1
5,Msx1
5,Msx2
6,Barhl2
7,Emx1
7,Emx2
7,En1
7,Gbx2
8,Alx1
8,Prop1
8,Duxbl1
8,Duxbl2
8,Duxbl3
8,Phox2a
8,Prrx1
8,Phox2b
8,Alx3
8,Uncx
8,Arx
8,Alx4
8,Prrxl1
10,Hnf1a
10,Hnf1b
11,Meox2
12,Pbx1
12,Pbx3
12,Pbx2
13,Foxi1
13,Pbx3
13,Nfyc
13,Nfya
13,Nfyb
14,Cux1
14,Cux2
14,Onecut2
14,Onecut1
14,Onecut3
14,Pax3
14,Pax7
15,Cux1
16,Cux1
16,Cux2
17,Cux2
18,Cdx1
19,Meis1
21,Pdx1
21,Pbx2
21,Pbx1
22,Hoxc10
22,Hoxc11
22,Hoxc12
22,Hoxd11
22,Hoxd12
22,Hoxc13
22,Hoxa10
22,Hoxa13
22,Hoxb13
22,Hoxd13
23,Cpeb1
24,Cdx2
24,Hoxa10
24,Hoxb13
24,Cdx1
24,Hoxa13
24,Hoxd13
24,Hoxc10
24,Hoxd12
24,Hoxc12
24,Hoxc11
24,Hoxd11
24,Hoxc13
25,Otx1
25,Otx2
26,Crx
26,Otx2
26,Pitx1
26,Gm4981
26,Gsc2
26,Gsc
26,Otx1
26,Rhox13
26,Dmbx1
28,Nkx2-3
